Date,CL=F,DX-Y.NYB,GC=F,^GSPC,^IXIC
2010-01-04,81.51000213623047,77.52999877929688,1117.699951171875,1132.989990234375,2308.419921875
2010-01-05,81.7699966430664,77.62000274658203,1118.0999755859375,1136.52001953125,2308.7099609375
2010-01-06,83.18000030517578,77.48999786376953,1135.9000244140625,1137.1400146484375,2301.090087890625
2010-01-07,82.66000366210938,77.91000366210938,1133.0999755859375,1141.68994140625,2300.050048828125
2010-01-08,82.75,77.47000122070312,1138.199951171875,1144.97998046875,2317.169921875
2010-01-11,82.5199966430664,77.0,1150.699951171875,1146.97998046875,2312.409912109375
2010-01-12,80.79000091552734,76.94999694824219,1128.9000244140625,1136.219970703125,2282.31005859375
2010-01-13,79.6500015258789,76.8499984741211,1136.4000244140625,1145.6800537109375,2307.89990234375
2010-01-14,79.38999938964844,76.7300033569336,1142.5999755859375,1148.4599609375,2316.739990234375
2010-01-15,78.0,77.31999969482422,1130.0999755859375,1136.030029296875,2287.989990234375
2010-01-19,79.0199966430664,77.5,1139.699951171875,1150.22998046875,2320.39990234375
2010-01-20,77.62000274658203,78.33999633789062,1112.300048828125,1138.0400390625,2291.25
2010-01-21,76.08000183105469,78.31999969482422,1102.699951171875,1116.47998046875,2265.699951171875
2010-01-22,74.54000091552734,78.27999877929688,1089.199951171875,1091.760009765625,2205.2900390625
2010-01-25,75.26000213623047,78.19000244140625,1095.199951171875,1096.780029296875,2210.800048828125
2010-01-26,74.70999908447266,78.43000030517578,1097.9000244140625,1092.1700439453125,2203.72998046875
2010-01-27,73.66999816894531,78.68000030517578,1084.4000244140625,1097.5,2221.409912109375
2010-01-28,73.63999938964844,78.9000015258789,1083.5999755859375,1084.530029296875,2179.0
2010-01-29,72.88999938964844,79.45999908447266,1083.0,1073.8699951171875,2147.35009765625
2010-02-01,74.43000030517578,79.23999786376953,1104.300048828125,1089.18994140625,2171.199951171875
2010-02-02,77.2300033569336,79.01000213623047,1117.4000244140625,1103.3199462890625,2190.06005859375
2010-02-03,76.9800033569336,79.37000274658203,1111.4000244140625,1097.280029296875,2190.909912109375
2010-02-04,73.13999938964844,79.91999816894531,1062.4000244140625,1063.1099853515625,2125.429931640625
