Date,CL=F,DX-Y.NYB,GC=F,^GSPC,^IXIC,Regime,Regime_Label,Regime_Change,Regime_Duration
2010-01-05,0.0031897251873629,0.001160892154034,0.0003578996434983,0.0031156756258232,0.000125643978269,0,Bull,1,1
2010-01-06,0.0172435333251164,-0.0016748889231161,0.0159199080733338,0.0005455206301101,-0.0033004895269654,0,Bull,0,2
2010-01-07,-0.0062514623846912,0.0054201291769064,-0.0024650486556414,0.0040012018741766,-0.0004519766818227,0,Bull,0,3
2010-01-08,0.0010887531321497,-0.005647573106459,0.0045009052120932,0.0028817272914287,0.0074432610958172,0,Bull,0,4
2010-01-11,-0.0027794967605268,-0.0060668802542567,0.0109822531508019,0.0017467554316374,-0.0020542342280074,0,Bull,0,5
2010-01-12,-0.0209645637168651,-0.0006493902825689,-0.0189449271598659,-0.0093811661483642,-0.0130166599606762,0,Bull,0,6
2010-01-13,-0.0141106495448662,-0.0012995253812466,0.0066436352536114,0.008325925658531,0.0112122556063951,0,Bull,0,7
2010-01-14,-0.0032643079880668,-0.0015614199033185,0.0054557823290013,0.0024264254383745,0.0038303601822797,0,Bull,0,8
2010-01-15,-0.0175084947768582,0.0076892520797382,-0.0109399617250909,-0.0108231301598693,-0.0124096791703809,0,Bull,0,9
2010-01-19,0.0130768800393128,0.0023279915401737,0.0084948020470136,0.0124996265993635,0.0141652333479198,0,Bull,0,10
2010-01-20,-0.01771695717488,0.0108386624243952,-0.0240413297513758,-0.0105978296629707,-0.0125624476687431,0,Bull,0,11
2010-01-21,-0.0198402584518738,-0.0002552545826037,-0.0086308524991653,-0.0189449033897883,-0.0111511396958537,1,Neutral,1,1
2010-01-22,-0.0202418622300655,-0.0005107369213892,-0.012242677607497,-0.0221409887643004,-0.0266628032887273,2,Crisis,1,1
2010-01-25,0.0096592596171156,-0.001149672193332,0.0055086304342417,0.0045980980127011,0.0024985419913143,0,Bull,1,1
2010-01-26,-0.0073080392791144,0.0030694188038857,0.002465370126522,-0.0042031995736809,-0.0031979682482469,0,Bull,0,2
2010-01-27,-0.0139205049962782,0.0031875557698233,-0.0122962015664448,0.0048801522109449,0.008022730460319,0,Bull,0,3
2010-01-28,-0.0004072048329373,0.0027961517520311,-0.00073778016425,-0.0118177409595672,-0.0190914391253004,0,Bull,0,4
2010-01-29,-0.010184682322328,0.0070975608081589,-0.0005536873379985,-0.0098291738280392,-0.0145249666561496,0,Bull,0,5
2010-02-01,0.0211277394487954,-0.0027687040427629,0.0196676351136888,0.0142661088946718,0.0111066442037821,0,Bull,0,6
2010-02-02,0.037619280401415,-0.0029025206176112,0.0118626958314809,0.0129729483771849,0.0086864903491248,0,Bull,0,7
2010-02-03,-0.0032370838939961,0.0045563928694856,-0.0053696079012941,-0.0054743114293386,0.0003880503241406,0,Bull,0,8
2010-02-04,-0.049883135877251,0.0069295124521961,-0.0440885360118946,-0.0311406778880394,-0.029887116812442,2,Crisis,1,1
2010-02-05,-0.0266611562006408,0.0065065601147997,-0.0096009723341384,0.0028971189219608,0.0073821231710817,0,Bull,1,1
2010-02-08,0.0098327984862527,-0.0017404200074511,0.0128302610021646,-0.0088632904934471,-0.0070384039822906,0,Bull,0,2
2010-02-09,0.0258728700256378,-0.0054794822501145,0.0103218546532766,0.0130401323165774,0.0116742634412843,0,Bull,0,3
2010-02-10,0.0104406324483581,0.0021287023246439,-0.0008357967721374,-0.0022325735201887,-0.0013947843600723,0,Bull,0,4
2010-02-11,0.0101986335274637,-0.0004998240177118,0.0171034592941254,0.0096804375619492,0.013753063877324,0,Bull,0,5
2010-02-12,-0.0152763223236817,0.0041255386906837,-0.0042953311840686,-0.0027445928193718,0.0028107326753055,0,Bull,0,6
2010-02-16,0.038850735053544,-0.0077191577307984,0.0273520411455943,0.0180007486455484,0.0140414428462189,1,Neutral,1,1
2010-02-17,0.0041553004278345,0.0085319991369305,0.0001786394739142,0.0042379594555796,0.0054647965967025,0,Bull,1,1
2010-02-18,0.0223715981711554,0.0002488712757462,-0.0013398838767306,0.0065847424489735,0.0069262861551917,0,Bull,0,2
2010-02-19,0.0094864662681548,0.0029850480001829,0.0029517431378578,0.0021866220422972,0.0009636198650322,0,Bull,0,3
2010-02-22,0.0043854919712116,-0.0016120691270076,-0.0077589163143977,-0.0010458578339902,-0.0008200509809058,0,Bull,0,4
2010-02-23,-0.0162176022001894,0.0042230322800802,-0.0088980987158918,-0.0121028095969314,-0.0127518755400395,0,Bull,0,5
2010-02-24,0.0144559901195182,0.0,-0.005622518768851,0.0097204594242219,0.0101470839652557,0,Bull,0,6
2010-02-25,-0.0228750228881835,-0.0007420848450968,0.0103055620867533,-0.0020810401799135,-0.0007513447443975,0,Bull,0,7
2010-02-26,0.0190610915704996,-0.005322444613231,0.0094782447528389,0.0014053791778985,0.0018082548341149,0,Bull,0,8
2010-03-01,-0.0120513014026362,0.0037332385450377,-0.0004471071967885,0.0101585082728945,0.0157756732639151,0,Bull,0,9
2010-03-02,0.0124523938365348,-0.0017357675760772,0.0170871128570457,0.0023304422719907,0.0031756094978567,0,Bull,0,10
2010-03-03,0.0149347695387616,-0.0067063252439828,0.0051015275162842,0.0004292016020615,-4.827600085466344e-05,0,Bull,0,11
2010-03-04,-0.0081612914516349,0.0072517401514946,-0.0088386943357962,0.0037361180334851,0.0050994121497613,0,Bull,0,12
2010-03-05,0.0160827942931254,-0.0016136700267824,0.0019424980483946,0.0140074809470649,0.0148496661413171,0,Bull,0,13
2010-03-08,0.0045399110010064,0.0,-0.0098696446600909,-0.0001755960133915,0.0025189086058687,0,Bull,0,14
2010-03-09,-0.0046415643100532,0.0019892581388507,-0.0014239726065347,0.0017127370855292,0.0036317359264343,0,Bull,0,15
2010-03-10,0.0073628480776761,-0.0017371807421538,-0.0126559279606729,0.0045245599549417,0.0078054326370218,0,Bull,0,16
2010-03-11,0.0002436870916475,-0.0016158764244776,0.0001804939186331,0.0040415193146134,0.0040314588958958,0,Bull,0,17
2010-03-12,-0.0105955759361223,-0.0061005710362459,-0.0058664259927797,-0.0002173459470393,-0.0003377928448528,0,Bull,0,18
