Date,CL=F,DX-Y.NYB,GC=F,^GSPC,^IXIC
2010-01-05,0.003189725187362935,0.0011608921540340322,0.00035789964349830505,0.0031156756258232665,0.00012564397826908547
2010-01-06,0.01724353332511641,-0.00167488892311618,0.015919908073333877,0.0005455206301101523,-0.003300489526965489
2010-01-07,-0.006251462384691209,0.005420129176906485,-0.0024650486556414553,0.00400120187417663,-0.00045197668182273
2010-01-08,0.0010887531321497335,-0.005647573106459025,0.004500905212093231,0.0028817272914287706,0.007443261095817277
2010-01-11,-0.0027794967605268006,-0.0060668802542567235,0.010982253150801924,0.0017467554316374923,-0.0020542342280074344
2010-01-12,-0.02096456371686517,-0.0006493902825689402,-0.018944927159865954,-0.009381166148364262,-0.013016659960676247
2010-01-13,-0.014110649544866294,-0.001299525381246669,0.006643635253611446,0.008325925658531075,0.01121225560639516
2010-01-14,-0.0032643079880668724,-0.001561419903318595,0.005455782329001346,0.0024264254383745687,0.0038303601822797795
2010-01-15,-0.01750849477685823,0.007689252079738251,-0.01093996172509093,-0.010823130159869354,-0.012409679170380938
2010-01-19,0.013076880039312844,0.002327991540173713,0.008494802047013694,0.012499626599363545,0.014165233347919859
2010-01-20,-0.017716957174880088,0.01083866242439524,-0.02404132975137585,-0.010597829662970737,-0.012562447668743149
2010-01-21,-0.01984025845187387,-0.0002552545826037811,-0.008630852499165398,-0.01894490338978838,-0.011151139695853796
2010-01-22,-0.02024186223006552,-0.0005107369213892543,-0.012242677607497088,-0.022140988764300484,-0.026662803288727388
2010-01-25,0.009659259617115667,-0.001149672193332063,0.005508630434241768,0.004598098012701168,0.0024985419913143847
2010-01-26,-0.007308039279114498,0.0030694188038857817,0.0024653701265220374,-0.004203199573680982,-0.0031979682482469185
2010-01-27,-0.013920504996278282,0.0031875557698233248,-0.012296201566444842,0.004880152210944955,0.008022730460319094
2010-01-28,-0.00040720483293732457,0.002796151752031184,-0.0007377801642500792,-0.011817740959567224,-0.019091439125300425
2010-01-29,-0.010184682322328054,0.007097560808158931,-0.000553687337998543,-0.009829173828039273,-0.014524966656149663
2010-02-01,0.021127739448795424,-0.0027687040427629706,0.019667635113688853,0.014266108894671836,0.011106644203782157
2010-02-02,0.037619280401415045,-0.002902520617611204,0.011862695831480918,0.01297294837718499,0.008686490349124831
2010-02-03,-0.003237083893996129,0.004556392869485615,-0.005369607901294149,-0.00547431142933863,0.0003880503241406874
2010-02-04,-0.04988313587725102,0.006929512452196196,-0.04408853601189466,-0.031140677888039425,-0.02988711681244205
2010-02-05,-0.0266611562006408,0.006506560114799775,-0.00960097233413848,0.002897118921960873,0.007382123171081778
2010-02-08,0.009832798486252736,-0.0017404200074511156,0.012830261002164667,-0.00886329049344714,-0.007038403982290609
2010-02-09,0.025872870025637873,-0.00547948225011452,0.010321854653276619,0.013040132316577413,0.011674263441284305
2010-02-10,0.010440632448358134,0.002128702324643905,-0.0008357967721374093,-0.0022325735201887964,-0.001394784360072343
2010-02-11,0.010198633527463752,-0.0004998240177118696,0.01710345929412549,0.009680437561949251,0.013753063877324001
2010-02-12,-0.015276322323681701,0.004125538690683772,-0.0042953311840686625,-0.002744592819371894,0.002810732675305516
2010-02-16,0.03885073505354408,-0.007719157730798454,0.027352041145594308,0.01800074864554846,0.014041442846218999
2010-02-17,0.0041553004278345185,0.00853199913693059,0.00017863947391427715,0.0042379594555796984,0.005464796596702515
2010-02-18,0.022371598171155416,0.000248871275746243,-0.0013398838767306742,0.006584742448973557,0.006926286155191752
2010-02-19,0.009486466268154858,0.002985048000182955,0.002951743137857843,0.002186622042297248,0.0009636198650322392
2010-02-22,0.00438549197121163,-0.0016120691270076204,-0.007758916314397735,-0.0010458578339902491,-0.0008200509809058731
2010-02-23,-0.016217602200189418,0.004223032280080252,-0.008898098715891867,-0.012102809596931441,-0.012751875540039537
2010-02-24,0.014455990119518258,0.0,-0.005622518768851004,0.00972045942422195,0.010147083965255765
2010-02-25,-0.02287502288818355,-0.0007420848450968576,0.010305562086753373,-0.002081040179913507,-0.0007513447443975307
2010-02-26,0.019061091570499622,-0.005322444613231059,0.009478244752838982,0.0014053791778985136,0.001808254834114953
2010-03-01,-0.012051301402636216,0.0037332385450377092,-0.00044710719678853206,0.01015850827289455,0.015775673263915158
2010-03-02,0.012452393836534847,-0.0017357675760772961,0.017087112857045783,0.0023304422719907514,0.0031756094978567795
2010-03-03,0.014934769538761605,-0.006706325243982847,0.005101527516284232,0.00042920160206150193,-4.827600085466344e-05
2010-03-04,-0.008161291451634911,0.007251740151494657,-0.008838694335796204,0.0037361180334851696,0.005099412149761395
2010-03-05,0.016082794293125424,-0.0016136700267824766,0.0019424980483946364,0.014007480947064943,0.014849666141317108
2010-03-08,0.00453991100100648,0.0,-0.009869644660090993,-0.00017559601339156572,0.002518908605868786
2010-03-09,-0.004641564310053248,0.001989258138850758,-0.001423972606534707,0.0017127370855292146,0.0036317359264343985
2010-03-10,0.007362848077676176,-0.0017371807421538987,-0.012655927960672941,0.00452455995494172,0.007805432637021825
2010-03-11,0.00024368709164757085,-0.0016158764244776913,0.00018049391863317332,0.004041519314613495,0.004031458895895845
2010-03-12,-0.01059557593612237,-0.00610057103624595,-0.005866425992779756,-0.00021734594703937127,-0.00033779284485280225
2010-03-15,-0.017725195099419278,0.005261156949916579,0.0032682483757944247,0.000452194832708086,-0.0023018302349933073
2010-03-16,0.02380944641383098,-0.006230529595015577,0.015473691035845727,0.0077791163013856135,0.0066886725098112
2010-03-17,0.015055121210259204,-0.0013793179981387294,0.0016040357391258198,0.005821675803744153,0.004659390868624769
2010-03-18,-0.008802645053023528,0.007282795523603225,0.0030249327527247516,-0.0003258460273372066,0.0009166424562012665
2010-03-19,-0.018491444032820104,0.006232859541155822,-0.017739932204094533,-0.005086446449439896,-0.007054848023157034
2010-03-22,0.007064944133219786,-0.0008671914490291366,-0.007314407989311045,0.005095296193887933,0.00884008701586314
2010-03-23,0.008123121995192273,0.0030998139525115764,0.0038205685302681314,0.007170966908320198,0.00828257856703285
2010-03-24,-0.015871114560322974,0.011619218717950464,-0.013502514194891235,-0.005493304207041971,-0.006823330408317174
2010-03-25,-0.0009924554081247594,0.0034213883335887374,0.0037662830037550332,-0.001704167338318907,-0.0005628314840807613
2010-03-26,-0.006581383178080102,-0.005358042214928749,0.010524389598138839,0.000737722599547963,-0.0009510385709838864
2010-03-29,0.027124977111816495,-0.003917723967049813,0.00552445021372816,0.005683234964352302,0.0038537470037058874
2010-03-30,0.002434034101175264,0.0013520232242669739,-0.005223857131454457,4.265937281555665e-05,0.0026326480650031847
2010-03-31,0.01687506790457305,-0.004909801397882663,0.007967450274445342,-0.00327287474868454,-0.0052806378166261325
2010-04-01,0.013252155946058997,-0.0035771668511040966,0.010599053480895071,0.0074138011482498545,0.0019266865430453972
2010-04-05,0.020619770747803745,0.0038375533953733942,0.0069327606411713205,0.00792799084446738,0.011217087587318542
2010-04-06,0.0025397550719574724,0.00369963084605085,0.001941875827050854,0.0016842957106795176,0.0029964763592496
2010-04-07,-0.011054803373520938,0.0006143635843811612,0.01515291481995562,-0.005876707172041695,-0.002318665118952956
2010-04-08,-0.005705611078719808,0.0011050630549203078,-8.686770112675823e-05,0.003374341747336196,0.002324053821483485
2010-04-09,-0.00550417173044393,-0.005396816484657951,0.007724374927295052,0.00668390656297202,0.0070748190543517
2010-04-12,-0.006829979316542056,-0.006535932953905199,0.00043062613944822026,0.0017666094762833762,0.001556638325774573
2010-04-13,-0.0034383839070968314,-0.0006205986082226111,-0.0075756946821332605,0.0006854008197059169,0.0033036216967259335
2010-04-14,0.02129676646210865,-0.003974657636733769,0.005378166992773492,0.011150066851666862,0.015762479710554667
2010-04-15,-0.0038442942187603135,0.0036164223306920373,0.0006039268092106198,0.0008425387276917995,0.004323528468630267
2010-04-16,-0.026546652037787055,0.004224606407913889,-0.020177548787601807,-0.016126534744455467,-0.01368607914430775
2010-04-19,-0.021504096125240846,0.0022271752766080954,-0.0009681401117465072,0.004521331252766547,-0.00046343484327493467
2010-04-20,0.024554942602034835,0.0006173216266396331,0.002995088583779948,0.008058340784849571,0.00814477998836649
2010-04-21,0.002756181729715923,0.0013571944011070425,0.008431385729652074,-0.0010189969053922,0.0017198062349688126
2010-04-22,0.00023896561894698465,0.0050517005201449194,-0.005138392784051593,0.002263879356942944,0.005773338091486169
2010-04-23,0.016965422343061087,-0.0026970849764155203,0.009454544599636572,0.0071235200993795544,0.004398382610925511
2010-04-26,-0.010808338447531152,0.0015980932421757466,0.0003469121693973065,-0.004296448099761374,-0.002845661897425744
2010-04-27,-0.020902548344720384,0.008222853968357091,0.007108756976051067,-0.023381945257149872,-0.02040467764524556
2010-04-28,0.009461411404630304,0.002799704482861154,0.008263835809380726,0.006462752419523099,0.00010520450125106606
2010-04-29,0.023431830324908365,-0.004612736903219616,-0.0024759022395363095,0.012943228020842135,0.016259842994107432
2010-04-30,0.011506438628654525,-0.0015853323587556867,0.010013651940603552,-0.016647680109796337,-0.020195699722339477
2010-05-03,0.0004643170611591252,0.004885719837123936,0.0022031824758292906,0.013120586781854904,0.015256867499901405
2010-05-04,-0.040027897434880555,0.01251983044511551,-0.011921853528417348,-0.02383846584506677,-0.02981102096476551
2010-05-05,-0.033478326257962654,0.009363730500852707,0.0051343489006934195,-0.006586554728659322,-0.009058455579045055
2010-05-06,-0.03576341836557517,0.009633652960918226,0.018985228411060318,-0.032353496411350324,-0.03440473262613597
2010-05-07,-0.025936972949932913,-0.00518320702756303,0.01094492047683815,-0.015308264998017185,-0.02327947547926612
2010-05-10,0.022500365166730374,-0.0034339052292747807,-0.00793386412060948,0.04397412445198401,0.04812328281031775
